Gene,Function,Multifunction,Biological Process,Cellular Component,Molecular Function
mazG,repressor,starvation,GO:0006203 - dGTP catabolic process; GO:0009267 - cellular response to starvation; GO:0046047 - TTP catabolic process; GO:0046052 - UTP catabolic process; GO:0046061 - dATP catabolic process; GO:0046076 - dTTP catabolic process; GO:0046081 - dUTP catabolic process,GO:0005829 - cytosol,GO:0000166 - nucleotide binding; GO:0005515 - protein binding; GO:0005524 - ATP binding; GO:0016787 - hydrolase activity; GO:0046872 - metal ion binding; GO:0047429 - nucleoside triphosphate diphosphatase activity; GO:0047693 - ATP diphosphatase activity
mazF,dual,"RNA degradation; translation; translation attenuation and efficiency; defense/survival; starvation; other (mechanical, nutritional, oxidative stress); cell killing; drug resistance/sensitivity",GO:0006355 - regulation of DNA-templated transcription; GO:0006402 - mRNA catabolic process; GO:0006417 - regulation of translation; GO:0009372 - quorum sensing; GO:0016075 - rRNA catabolic process; GO:0030308 - negative regulation of cell growth; GO:0040008 - regulation of growth; GO:0043068 - positive regulation of programmed cell death; GO:0044010 - single-species biofilm formation; GO:0051607 - defense response to virus,GO:0005829 - cytosol; GO:0032991 - protein-containing complex; GO:0110001 - toxin-antitoxin complex,GO:0003677 - DNA binding; GO:0003723 - RNA binding; GO:0004518 - nuclease activity; GO:0004519 - endonuclease activity; GO:0004521 - RNA endonuclease activity; GO:0005515 - protein binding; GO:0016787 - hydrolase activity; GO:0042803 - protein homodimerization activity; GO:0044877 - protein-containing complex binding; GO:0140677 - molecular function activator activity
speC,repressor,polyamine biosynthesis,GO:0006520 - amino acid metabolic process; GO:0008295 - spermidine biosynthetic process; GO:0033387 - putrescine biosynthetic process from ornithine,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0003824 - catalytic activity; GO:0004586 - ornithine decarboxylase activity; GO:0016829 - lyase activity; GO:0016831 - carboxy-lyase activity; GO:0030170 - pyridoxal phosphate binding; GO:0042803 - protein homodimerization activity; GO:0097216 - guanosine tetraphosphate binding
iraP,activator,posttranscriptional; adaptations,GO:0009267 - cellular response to starvation; GO:0016036 - cellular response to phosphate starvation; GO:0042177 - negative regulation of protein catabolic process; GO:0045893 - positive regulation of DNA-templated transcription,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0005515 - protein binding; GO:0043856 - anti-sigma factor antagonist activity
idlP,activator,,GO:0006417 - regulation of translation,,
ytiD,activator,,,,
ytiC,activator,,,GO:0005886 - plasma membrane; GO:0016020 - membrane,
iraD,activator,"posttranscriptional; other (mechanical, nutritional, oxidative stress)",GO:0006974 - DNA damage response; GO:0034599 - cellular response to oxidative stress; GO:0042177 - negative regulation of protein catabolic process; GO:0045893 - positive regulation of DNA-templated transcription,GO:0005737 - cytoplasm,GO:0005515 - protein binding; GO:0043856 - anti-sigma factor antagonist activity
argI,activator,arginine,GO:0006520 - amino acid metabolic process; GO:0006526 - arginine biosynthetic process; GO:0006591 - ornithine metabolic process; GO:0008152 - metabolic process; GO:0008652 - amino acid biosynthetic process; GO:0019240 - citrulline biosynthetic process; GO:0042450 - arginine biosynthetic process via ornithine,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0003824 - catalytic activity; GO:0004585 - ornithine carbamoyltransferase activity; GO:0016597 - amino acid binding; GO:0016740 - transferase activity; GO:0016743 - carboxyl- or carbamoyltransferase activity; GO:0046872 - metal ion binding
livJ,activator,"isoleucine/valine; leucine; ABC superfamily, periplasmic binding component",GO:0006865 - amino acid transport; GO:0015803 - branched-chain amino acid transport; GO:0015818 - isoleucine transport; GO:0015820 - leucine transport; GO:0015829 - valine transport,"GO:0016020 - membrane; GO:0030288 - outer membrane-bounded periplasmic space; GO:0042597 - periplasmic space; GO:0055052 - ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing",
grxB,activator,"thioredoxin, glutaredoxin",,GO:0005829 - cytosol,GO:0015038 - glutathione disulfide oxidoreductase activity
glgP,activator,carbon compounds; cytoplasmic polysaccharides,GO:0005975 - carbohydrate metabolic process; GO:0005977 - glycogen metabolic process; GO:0005980 - glycogen catabolic process; GO:0008152 - metabolic process; GO:0018106 - peptidyl-histidine phosphorylation,GO:0005737 - cytoplasm; GO:0005829 - cytosol,"GO:0003824 - catalytic activity; GO:0004645 - 1,4-alpha-oligoglucan phosphorylase activity; GO:0005515 - protein binding; GO:0008184 - glycogen phosphorylase activity; GO:0016740 - transferase activity; GO:0016757 - glycosyltransferase activity; GO:0030170 - pyridoxal phosphate binding; GO:0042803 - protein homodimerization activity; GO:0102250 - linear malto-oligosaccharide phosphorylase activity; GO:0102499 - SHG alpha-glucan phosphorylase activity"
glgC,activator,cytoplasmic polysaccharides,GO:0005977 - glycogen metabolic process; GO:0005978 - glycogen biosynthetic process; GO:0008152 - metabolic process; GO:0009058 - biosynthetic process; GO:0051289 - protein homotetramerization,GO:0005829 - cytosol; GO:0010170 - glucose-1-phosphate adenylyltransferase complex,GO:0000166 - nucleotide binding; GO:0000287 - magnesium ion binding; GO:0003824 - catalytic activity; GO:0005524 - ATP binding; GO:0008878 - glucose-1-phosphate adenylyltransferase activity; GO:0016208 - AMP binding; GO:0016740 - transferase activity; GO:0016779 - nucleotidyltransferase activity; GO:0042802 - identical protein binding
glgA,activator,cytoplasmic polysaccharides,GO:0005978 - glycogen biosynthetic process; GO:0006974 - DNA damage response,GO:0005737 - cytoplasm; GO:0005829 - cytosol,"GO:0004373 - glycogen (starch) synthase activity; GO:0009011 - starch synthase activity; GO:0016740 - transferase activity; GO:0016757 - glycosyltransferase activity; GO:0033201 - alpha-1,4-glucan synthase activity"
leuO,activator,leucine; Transcription related; activator; operon,GO:0006355 - regulation of DNA-templated transcription,GO:0005829 - cytosol; GO:0032993 - protein-DNA complex,GO:0003677 - DNA binding; GO:0003700 - DNA-binding transcription factor activity; GO:0043565 - sequence-specific DNA binding
ftsZ,activator,cell division,GO:0000917 - division septum assembly; GO:0007049 - cell cycle; GO:0010020 - chloroplast fission; GO:0043093 - FtsZ-dependent cytokinesis; GO:0051258 - protein polymerization; GO:0051301 - cell division; GO:0090529 - cell septum assembly,GO:0005737 - cytoplasm; GO:0005886 - plasma membrane; GO:0032153 - cell division site; GO:1990586 - divisome complex,GO:0000166 - nucleotide binding; GO:0003924 - GTPase activity; GO:0005515 - protein binding; GO:0005525 - GTP binding; GO:0042802 - identical protein binding
gluQ,repressor,RNA modification,GO:0002097 - tRNA wobble base modification; GO:0006400 - tRNA modification; GO:0006424 - glutamyl-tRNA aminoacylation; GO:0043039 - tRNA aminoacylation,GO:0005829 - cytosol,GO:0000166 - nucleotide binding; GO:0004812 - aminoacyl-tRNA ligase activity; GO:0004818 - glutamate-tRNA ligase activity; GO:0005524 - ATP binding; GO:0008270 - zinc ion binding; GO:0016874 - ligase activity; GO:0046872 - metal ion binding
dksA,repressor,translation; translation attenuation and efficiency; starvation,GO:0006302 - double-strand break repair; GO:0010468 - regulation of gene expression,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0008270 - zinc ion binding; GO:0046872 - metal ion binding; GO:0097216 - guanosine tetraphosphate binding
relA,activator,nucleotide and nucleoside conversions; unknown; ribosomes,GO:0015949 - nucleobase-containing small molecule interconversion; GO:0015969 - guanosine tetraphosphate metabolic process; GO:0015970 - guanosine tetraphosphate biosynthetic process; GO:0016310 - phosphorylation; GO:0042594 - response to starvation,GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:0005886 - plasma membrane,"GO:0000166 - nucleotide binding; GO:0005515 - protein binding; GO:0005524 - ATP binding; GO:0005525 - GTP binding; GO:0008728 - GTP diphosphokinase activity; GO:0008893 - guanosine-3',5'-bis(diphosphate) 3'-diphosphatase activity; GO:0016301 - kinase activity; GO:0016740 - transferase activity"
trxA,activator,"thioredoxin, glutaredoxin",GO:0045454 - cell redox homeostasis,GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:0005886 - plasma membrane,GO:0005515 - protein binding; GO:0015035 - protein-disulfide reductase activity; GO:0015036 - disulfide oxidoreductase activity; GO:0030337 - DNA polymerase processivity factor activity
rpoS,repressor,"sigma factors, anti-sigmafactors",GO:0006351 - DNA-templated transcription; GO:0006352 - DNA-templated transcription initiation; GO:0006355 - regulation of DNA-templated transcription; GO:0006950 - response to stress; GO:0010468 - regulation of gene expression; GO:0045892 - negative regulation of DNA-templated transcription; GO:2000142 - regulation of DNA-templated transcription initiation,GO:0000345 - cytosolic DNA-directed RNA polymerase complex; GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:1903865 - sigma factor antagonist complex,GO:0001000 - bacterial-type RNA polymerase core enzyme binding; GO:0003677 - DNA binding; GO:0003700 - DNA-binding transcription factor activity; GO:0005515 - protein binding; GO:0016987 - sigma factor activity
tsf,repressor,translation,GO:0006412 - translation; GO:0006414 - translational elongation,GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:0016020 - membrane; GO:0032045 - guanyl-nucleotide exchange factor complex,GO:0003746 - translation elongation factor activity; GO:0005085 - guanyl-nucleotide exchange factor activity; GO:0005515 - protein binding; GO:0008270 - zinc ion binding
tff,repressor,DNA sites,,,
rpsB,repressor,translation; ribosomal proteins; ribosomes,GO:0000028 - ribosomal small subunit assembly; GO:0002181 - cytoplasmic translation; GO:0006412 - translation,GO:0005737 - cytoplasm; GO:0005840 - ribosome; GO:0015935 - small ribosomal subunit; GO:0022627 - cytosolic small ribosomal subunit; GO:1990904 - ribonucleoprotein complex,GO:0003735 - structural constituent of ribosome; GO:0005515 - protein binding; GO:0008270 - zinc ion binding
lrp,activator,"isoleucine/valine; leucine; Transcription related; nucleoproteins, basic proteins; activator; repressor; operon",GO:0006355 - regulation of DNA-templated transcription; GO:0006524 - alanine catabolic process; GO:0043201 - response to leucine; GO:0045892 - negative regulation of DNA-templated transcription; GO:0045893 - positive regulation of DNA-templated transcription,GO:0005829 - cytosol; GO:0032993 - protein-DNA complex,GO:0000976 - transcription cis-regulatory region binding; GO:0001216 - DNA-binding transcription activator activity; GO:0001217 - DNA-binding transcription repressor activity; GO:0003677 - DNA binding; GO:0005515 - protein binding; GO:0042802 - identical protein binding; GO:0043565 - sequence-specific DNA binding
cspA,repressor,Transcription related; activator; operon; temperature extremes,GO:0009409 - response to cold; GO:0010468 - regulation of gene expression; GO:0031564 - transcription antitermination; GO:0045893 - positive regulation of DNA-templated transcription; GO:0060567 - negative regulation of termination of DNA-templated transcription,GO:0005737 - cytoplasm; GO:0005829 - cytosol,"GO:0001072 - transcription antitermination factor activity, RNA binding; GO:0003676 - nucleic acid binding; GO:0003677 - DNA binding; GO:0003697 - single-stranded DNA binding; GO:0003723 - RNA binding; GO:0003727 - single-stranded RNA binding"
fimB,activator,"fimbri, pili; DNA recombination; DNA structure level; operon; pilus",GO:0006310 - DNA recombination; GO:0006974 - DNA damage response; GO:0015074 - DNA integration,GO:0005829 - cytosol,GO:0003677 - DNA binding
leuL,activator,leucine,GO:0008652 - amino acid biosynthetic process; GO:0009082 - branched-chain amino acid biosynthetic process; GO:0009098 - leucine biosynthetic process; GO:0031556 - transcriptional attenuation by ribosome,GO:0005829 - cytosol,
leuB,activator,leucine,GO:0008652 - amino acid biosynthetic process; GO:0009082 - branched-chain amino acid biosynthetic process; GO:0009098 - leucine biosynthetic process; GO:0034198 - cellular response to amino acid starvation,GO:0005737 - cytoplasm; GO:0005829 - cytosol,"GO:0000287 - magnesium ion binding; GO:0003862 - 3-isopropylmalate dehydrogenase activity; GO:0016491 - oxidoreductase activity; GO:0016616 - oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor; GO:0030145 - manganese ion binding; GO:0046872 - metal ion binding; GO:0051287 - NAD binding"
leuD,activator,leucine,GO:0008652 - amino acid biosynthetic process; GO:0009082 - branched-chain amino acid biosynthetic process; GO:0009098 - leucine biosynthetic process,GO:0005829 - cytosol; GO:0009316 - 3-isopropylmalate dehydratase complex,GO:0003861 - 3-isopropylmalate dehydratase activity; GO:0005515 - protein binding; GO:0016829 - lyase activity
leuC,activator,leucine,GO:0008652 - amino acid biosynthetic process; GO:0009082 - branched-chain amino acid biosynthetic process; GO:0009098 - leucine biosynthetic process; GO:0019752 - carboxylic acid metabolic process,GO:0005829 - cytosol; GO:0009316 - 3-isopropylmalate dehydratase complex,"GO:0003861 - 3-isopropylmalate dehydratase activity; GO:0005515 - protein binding; GO:0016829 - lyase activity; GO:0046872 - metal ion binding; GO:0051536 - iron-sulfur cluster binding; GO:0051539 - 4 iron, 4 sulfur cluster binding"
leuA,activator,leucine,GO:0008652 - amino acid biosynthetic process; GO:0009082 - branched-chain amino acid biosynthetic process; GO:0009098 - leucine biosynthetic process; GO:0019298 - coenzyme B biosynthetic process; GO:0019752 - carboxylic acid metabolic process,GO:0005737 - cytoplasm; GO:0005829 - cytosol,"GO:0003824 - catalytic activity; GO:0003852 - 2-isopropylmalate synthase activity; GO:0003985 - acetyl-CoA C-acetyltransferase activity; GO:0016740 - transferase activity; GO:0030145 - manganese ion binding; GO:0046872 - metal ion binding; GO:0046912 - acyltransferase activity, acyl groups converted into alkyl on transfer"
ilvX,activator,,,,
ilvL,activator,isoleucine/valine,GO:0008652 - amino acid biosynthetic process; GO:0009082 - branched-chain amino acid biosynthetic process; GO:0009099 - valine biosynthetic process; GO:0031555 - transcriptional attenuation,GO:0005829 - cytosol,
ilvA,activator,isoleucine/valine,GO:0006520 - amino acid metabolic process; GO:0006565 - L-serine catabolic process; GO:0006566 - threonine metabolic process; GO:0006567 - threonine catabolic process; GO:0008152 - metabolic process; GO:0008652 - amino acid biosynthetic process; GO:0009082 - branched-chain amino acid biosynthetic process; GO:0009097 - isoleucine biosynthetic process,GO:0005829 - cytosol,GO:0003824 - catalytic activity; GO:0003941 - L-serine ammonia-lyase activity; GO:0004794 - threonine deaminase activity; GO:0016597 - amino acid binding; GO:0016829 - lyase activity; GO:0030170 - pyridoxal phosphate binding
ilvG,activator,,GO:0008652 - amino acid biosynthetic process; GO:0009082 - branched-chain amino acid biosynthetic process; GO:0009097 - isoleucine biosynthetic process; GO:0009099 - valine biosynthetic process; GO:0019752 - carboxylic acid metabolic process,GO:0005948 - acetolactate synthase complex,GO:0000287 - magnesium ion binding; GO:0003984 - acetolactate synthase activity; GO:0030976 - thiamine pyrophosphate binding; GO:0050660 - flavin adenine dinucleotide binding
ilvD,activator,isoleucine/valine,GO:0008652 - amino acid biosynthetic process; GO:0009082 - branched-chain amino acid biosynthetic process; GO:0009097 - isoleucine biosynthetic process; GO:0009099 - valine biosynthetic process,GO:0005829 - cytosol,"GO:0000287 - magnesium ion binding; GO:0003824 - catalytic activity; GO:0004160 - dihydroxy-acid dehydratase activity; GO:0016829 - lyase activity; GO:0016836 - hydro-lyase activity; GO:0046872 - metal ion binding; GO:0051536 - iron-sulfur cluster binding; GO:0051537 - 2 iron, 2 sulfur cluster binding; GO:0051539 - 4 iron, 4 sulfur cluster binding"
ilvE,activator,alanine; isoleucine/valine; leucine,GO:0006532 - aspartate biosynthetic process; GO:0008652 - amino acid biosynthetic process; GO:0009081 - branched-chain amino acid metabolic process; GO:0009082 - branched-chain amino acid biosynthetic process; GO:0009097 - isoleucine biosynthetic process; GO:0009098 - leucine biosynthetic process; GO:0009099 - valine biosynthetic process; GO:0046394 - carboxylic acid biosynthetic process; GO:1901566 - organonitrogen compound biosynthetic process,GO:0005829 - cytosol,GO:0003824 - catalytic activity; GO:0004084 - branched-chain-amino-acid transaminase activity; GO:0008483 - transaminase activity; GO:0016740 - transferase activity; GO:0042802 - identical protein binding; GO:0050048 - L-leucine:2-oxoglutarate aminotransferase activity; GO:0052654 - L-leucine transaminase activity; GO:0052655 - L-valine transaminase activity; GO:0052656 - L-isoleucine transaminase activity
ilvM,activator,isoleucine/valine,GO:0008652 - amino acid biosynthetic process; GO:0009082 - branched-chain amino acid biosynthetic process; GO:0009097 - isoleucine biosynthetic process; GO:0009099 - valine biosynthetic process,GO:0005829 - cytosol; GO:0005948 - acetolactate synthase complex,GO:0003984 - acetolactate synthase activity; GO:0005515 - protein binding; GO:0016740 - transferase activity
ilvN,activator,isoleucine/valine,GO:0008652 - amino acid biosynthetic process; GO:0009082 - branched-chain amino acid biosynthetic process; GO:0009097 - isoleucine biosynthetic process; GO:0009099 - valine biosynthetic process,GO:0005829 - cytosol; GO:0005948 - acetolactate synthase complex,GO:0003984 - acetolactate synthase activity; GO:0005515 - protein binding; GO:0016740 - transferase activity; GO:1990610 - acetolactate synthase regulator activity
ivbL,activator,isoleucine/valine,GO:0008652 - amino acid biosynthetic process; GO:0009082 - branched-chain amino acid biosynthetic process; GO:0009099 - valine biosynthetic process,GO:0005829 - cytosol,
ilvB,activator,isoleucine/valine,GO:0008652 - amino acid biosynthetic process; GO:0009082 - branched-chain amino acid biosynthetic process; GO:0009097 - isoleucine biosynthetic process; GO:0009099 - valine biosynthetic process,GO:0005829 - cytosol; GO:0005948 - acetolactate synthase complex,GO:0000287 - magnesium ion binding; GO:0003824 - catalytic activity; GO:0003984 - acetolactate synthase activity; GO:0005515 - protein binding; GO:0016740 - transferase activity; GO:0030976 - thiamine pyrophosphate binding; GO:0046872 - metal ion binding; GO:0050660 - flavin adenine dinucleotide binding
yojI,activator,"ABC superfamily, ATP binding and membrane component; membrane",GO:0015833 - peptide transport; GO:0042884 - microcin transport; GO:0046677 - response to antibiotic; GO:0055085 - transmembrane transport,GO:0005886 - plasma membrane; GO:0016020 - membrane; GO:0043190 - ATP-binding cassette (ABC) transporter complex,GO:0000166 - nucleotide binding; GO:0005524 - ATP binding; GO:0016887 - ATP hydrolysis activity; GO:0042626 - ATPase-coupled transmembrane transporter activity; GO:0140359 - ABC-type transporter activity; GO:1904680 - peptide transmembrane transporter activity
csrB,activator,RNA degradation; posttranscriptional,GO:1900192 - positive regulation of single-species biofilm formation; GO:1902201 - negative regulation of bacterial-type flagellum-dependent cell motility; GO:1904572 - negative regulation of mRNA binding,,GO:0005515 - protein binding
csrC,activator,RNA related,GO:1900192 - positive regulation of single-species biofilm formation; GO:1902201 - negative regulation of bacterial-type flagellum-dependent cell motility; GO:1904572 - negative regulation of mRNA binding,,GO:0005515 - protein binding
rseB,activator,"Transcription related; sigma factors, anti-sigmafactors; starvation; other (mechanical, nutritional, oxidative stress)",GO:0032885 - regulation of polysaccharide biosynthetic process; GO:0045892 - negative regulation of DNA-templated transcription; GO:0050821 - protein stabilization,GO:0005886 - plasma membrane; GO:0030288 - outer membrane-bounded periplasmic space; GO:0042597 - periplasmic space; GO:1903865 - sigma factor antagonist complex,GO:0005515 - protein binding; GO:0008289 - lipid binding; GO:0042802 - identical protein binding; GO:0045152 - antisigma factor binding
