Regulated-By from All promoters of E. coli K-12 substr. MG1655	Matches	Mode	Promoters - genes downstream of promoter	Accession-1
Regulation of fecAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	fecAp	+	fecE // fecD // fecC // fecB // fecA	b4287 // b4288 // b4289 // b4290 // b4291
Regulation of fepAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	fepAp	+	entD // fepA	b0583 // b0584
Regulation of fiup by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	fiup	+	fiu	b0805
Regulation of fixAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	fixAp	+	fixX // fixC // fixB // fixA	b0044 // b0043 // b0042 // b0041
Regulation of fixAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	fixAp	+	fixX // fixC // fixB // fixA	b0044 // b0043 // b0042 // b0041
Regulation of flhDp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	flhDp	+	flhC // flhD	b1891 // b1892
Regulation of focAp1 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	focAp1	+	pflB // focA	b0903 // b0904
Regulation of frlAp1 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	frlAp1	+	frlR // frlD // frlC // frlB // frlA	b3375 // b3374 // b4474 // b3371 // b3370
Regulation of fucAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	fucAp	+	fucO // fucA	b2799 // b2800
Regulation of fucAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	fucAp	+	fucO // fucA	b2799 // b2800
Regulation of fucPp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	fucPp	+	fucP // fucI // fucK // fucU // fucR	b2801 // b2802 // b2803 // b2804 // b2805
Regulation of fucPp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	fucPp	+	fucP // fucI // fucK // fucU // fucR	b2801 // b2802 // b2803 // b2804 // b2805
Regulation of fumAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	fumAp	+	fumC // fumA	b1611 // b1612
Regulation of fumAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	fumAp	+	fumC // fumA	b1611 // b1612
Regulation of fumAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	fumAp	+	fumC // fumA	b1611 // b1612
Regulation of fumAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	fumAp	+	fumC // fumA	b1611 // b1612
Regulation of fumAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	fumAp	+	fumC // fumA	b1611 // b1612
Regulation of fumCp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	fumCp2	+	fumC	b1611
Regulation of fumCp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	fumCp2		fumC	b1611
Regulation of furpa by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	furpa	+	fur	b0683
Regulation of furpb by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	furpb	+	fur	b0683
Regulation of gadAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	gadAp	-	gadX // gadA	b3516 // b3517
Regulation of gadAp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	gadAp2	-	gadX // gadA	b3516 // b3517
Regulation of gadBp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	gadBp	-	gadC // gadB	b1492 // b1493
Regulation of gadBp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	gadBp2	-	gadC // gadB	b1492 // b1493
Regulation of gadEp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	gadEp2	-	gadF // mdtF // mdtE // gadE	b4718 // b3514 // b3513 // b3512
Regulation of galEp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	galEp	+	galM // galK // galT // galE	b0756 // b0757 // b0758 // b0759
Regulation of galEp1 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	galEp1	+	galK // galT // galE // galM	b0757 // b0758 // b0759 // b0756
Regulation of galEp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	galEp2	-	galK // galT // galE // galM	b0757 // b0758 // b0759 // b0756
Regulation of galPp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	galPp	+	galP	b2943
Regulation of galSp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	galSp	+	galS	b2151
Regulation of gapAp3 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	gapAp3	+	gapA	b1779
Regulation of gatYp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	gatYp	+	gatD // gatC // gatB // gatA // gatZ // gatY	b2091 // b2092 // b2093 // b2094 // b2095 // b2096
Regulation of gcdp1 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	gcdp1	-	gcd	b0124
Regulation of gcvTp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	gcvTp	+	gcvP // gcvH // gcvT	b2903 // b2904 // b2905
Regulation of gcvTp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	gcvTp	+	gcvP // gcvH // gcvT	b2903 // b2904 // b2905
Regulation of gdhAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	gdhAp	-	gdhA	b1761
Regulation of glcCp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	glcCp	+	glcC	b2980
Regulation of glgCp1 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	glgCp1	+	glgP // glgA // glgC	b3428 // b3429 // b3430
Regulation of glgSp1 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	glgSp1	+	glgS	b3049
Regulation of glnAp1 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	glnAp1	+	glnZ // glnA // glnG // glnL	b4836 // b3870 // b3868 // b3869
Regulation of glnAp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	glnAp2	-	glnZ // glnA // glnG // glnL	b4836 // b3870 // b3868 // b3869
Regulation of glnAp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	glnAp2	-	glnZ // glnA // glnG // glnL	b4836 // b3870 // b3868 // b3869
Regulation of glpAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	glpAp	+	glpA // glpB // glpC	b2241 // b2242 // b2243
Regulation of glpAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	glpAp	+	glpA // glpB // glpC	b2241 // b2242 // b2243
Regulation of glpAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	glpAp	+	glpA // glpB // glpC	b2241 // b2242 // b2243
Regulation of glpDp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	glpDp	+	glpD	b3426
Regulation of glpEp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	glpEp	+	glpR // glpG // glpE	b3423 // b3424 // b3425
Regulation of glpFp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	glpFp	+	glpX // glpK // glpF	b3925 // b3926 // b3927
Regulation of glpFp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	glpFp	+	glpX // glpK // glpF	b3925 // b3926 // b3927
Regulation of glpTQp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	glpTQp	+	glpQ // glpT	b2239 // b2240
Regulation of glpTQp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	glpTQp	+	glpQ // glpT	b2239 // b2240
Regulation of glpTQp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	glpTQp	+	glpQ // glpT	b2239 // b2240
Regulation of gltAp1 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	gltAp1	+	gltA	b0720
Regulation of gltBp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	gltBp	-	gltB // gltD // gltF	b3212 // b3213 // b3214
Regulation of gltBp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	gltBp2	-	gltB // gltD // gltF	b3212 // b3213 // b3214
Regulation of gntKp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	gntKp	+	gntK // gntU	b3437 // b4476
Regulation of gntPp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	gntPp	+	gntP	b4321
Regulation of gntPp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	gntPp	+	gntP	b4321
Regulation of gntPp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	gntPp	+	gntP	b4321
Regulation of gntTp1 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	gntTp1	+	gntT	b3415
Regulation of gntTp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	gntTp2	+	gntT	b3415
Regulation of gntTp3 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	gntTp3	+	gntT	b3415
Regulation of gntXp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	gntXp	+	nfuA // yhgH	b3414 // b3413
Regulation of grcAp1 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	grcAp1	+	grcA	b2579
Regulation of grpEp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	grpEp	+	grpE	b2614
Regulation of guaBp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	guaBp	+	guaA // guaB	b2507 // b2508
Regulation of gyrAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	gyrAp	+	gyrA	b2231
Regulation of hfqp3 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	hfqp3	-	hflC // hflK // hflX // hfq	b4175 // b4174 // b4173 // b4172
Regulation of hicAp1 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	hicAp1	+	hicB // hicA	b1438 // b4532
Regulation of hlyEp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	hlyEp	+	hlyE	b1182
Regulation of hofMp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	hofMp	+	hofM // hofN // hofO // hofP	b3395 // b3394 // b3393 // b3392
Regulation of hofMp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	hofMp	+	hofM // hofN // hofO // hofP	b3395 // b3394 // b3393 // b3392
Regulation of hptp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	hptp	+	hpt	b0125
Regulation of hupAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	hupAp	+	hupA	b4000
Regulation of hupBp3 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	hupBp3	+	hupB	b0440
Regulation of hyfAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	hyfAp	+	focB // hyfR // hyfJ // hyfI // hyfH // hyfG // hyfF // hyfE // hyfD // hyfC // hyfB // hyfA	b2492 // b2491 // b2490 // b2489 // b2488 // b2487 // b2486 // b2485 // b2484 // b2483 // b2482 // b2481
Regulation of idnDp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	idnDp	+	idnR // idnT // idnO // idnD	b4264 // b4265 // b4266 // b4267
Regulation of idnDp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	idnDp	+	idnR // idnT // idnO // idnD	b4264 // b4265 // b4266 // b4267
Regulation of idnKp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	idnKp	+	idnK	b4268
Regulation of idnKp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	idnKp	+	idnK	b4268
Regulation of ivbLp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	ivbLp	+	ivbL // ilvN // ilvB	b3672 // b3670 // b3671
Regulation of kbaZp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	kbaZp	+	agaA // agaW // agaV // kbaZ	b3135 // b3134 // b3133 // b3132
Regulation of lacZp1 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	lacZp1	+	lacA // lacY // lacZ	b0342 // b0343 // b0344
Regulation of lacZp1 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	lacZp1	+	lacA // lacY // lacZ	b0342 // b0343 // b0344
Regulation of lacZp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	lacZp2	-	lacA // lacY // lacZ	b0342 // b0343 // b0344
Regulation of lacZp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	lacZp2	-	lacA // lacY // lacZ	b0342 // b0343 // b0344
Regulation of lacZp3 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	lacZp3	-	lacA // lacY // lacZ	b0342 // b0343 // b0344
Regulation of lacZp3 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	lacZp3	-	lacA // lacY // lacZ	b0342 // b0343 // b0344
Regulation of ldtBp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	ldtBp	+	ldtB	b0819
Regulation of ldtBp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	ldtBp	-	ldtB	b0819
Regulation of lgoRp4 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	lgoRp4	+	lgoR	b4357
Regulation of lpdAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	lpdAp	-	lpd	b0116
Regulation of lsrAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	lsrAp	+	tam // lsrG // lsrF // lsrB // lsrD // lsrC // lsrA	b1519 // b1518 // b1517 // b1516 // b1515 // b1514 // b1513
Regulation of lsrAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	lsrAp	+	tam // lsrG // lsrF // lsrB // lsrD // lsrC // lsrA	b1519 // b1518 // b1517 // b1516 // b1515 // b1514 // b1513
Regulation of lsrRp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	lsrRp	+	lsrK // lsrR	b1511 // b1512
Regulation of lsrRp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	lsrRp	+	lsrK // lsrR	b1511 // b1512
Regulation of malEp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	malEp	+	malH // malG // malF // malE	b4807 // b4032 // b4033 // b4034
Regulation of malEp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	malEp	+	malH // malG // malF // malE	b4807 // b4032 // b4033 // b4034
Regulation of malEp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	malEp	+	malH // malG // malF // malE	b4807 // b4032 // b4033 // b4034
Regulation of malEp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	malEp	+	malH // malG // malF // malE	b4807 // b4032 // b4033 // b4034
