Regulated-By from All promoters of E. coli K-12 substr. MG1655	Matches	Mode	Promoters - genes downstream of promoter	Accession-1
Regulation of agaSp by DNA-binding transcriptional repressor AgaR	agaSp	-	agaI // agaD // agaC // agaB // kbaY // agaS	b3141 // b3140 // b3139 // b3138 // b3137 // b3136
Regulation of agaSp by DNA-binding transcriptional repressor AgaR	agaSp	-	agaI // agaD // agaC // agaB // kbaY // agaS	b3141 // b3140 // b3139 // b3138 // b3137 // b3136
Regulation of agaSp by DNA-binding transcriptional repressor AgaR	agaSp	-	agaI // agaD // agaC // agaB // kbaY // agaS	b3141 // b3140 // b3139 // b3138 // b3137 // b3136
Regulation of agpp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	agpp	+	agp	b1002
Regulation of ahpCp1 by DNA-binding transcriptional dual regulator OxyR	ahpCp1	+	ahpC // ahpF	b0605 // b0606
Regulation of ahpCp1 by DNA-binding transcriptional dual regulator OxyR	ahpCp1	+	ahpC // ahpF	b0605 // b0606
Regulation of ahpCp1 by DNA-binding transcriptional repressor MetJ-S-adenosyl-L-methionine	ahpCp1	-	ahpC // ahpF	b0605 // b0606
Regulation of ahpCp1 by DNA-binding transcriptional repressor MetJ-S-adenosyl-L-methionine	ahpCp1	-	ahpC // ahpF	b0605 // b0606
Regulation of ahpCp2 by DNA-binding transcriptional dual regulator OxyR	ahpCp2	+	ahpF // ahpC	b0606 // b0605
Regulation of ahpCp2 by DNA-binding transcriptional dual regulator OxyR	ahpCp2	+	ahpF // ahpC	b0606 // b0605
Regulation of aidBp1 by DNA-binding transcriptional dual regulator / DNA repair protein Ada	aidBp1	+	aidB	b4187
Regulation of aidBp1 by DNA-binding transcriptional dual regulator Lrp	aidBp1	-	aidB	b4187
Regulation of aidBp1 by isovaleryl-CoA dehydrogenase and DNA-binding transcriptional repressor	aidBp1	-	aidB	b4187
Regulation of aidBp2 by DNA-binding transcriptional dual regulator / DNA repair protein Ada	aidBp2	+	aidB	b4187
Regulation of aidBp2 by DNA-binding transcriptional dual regulator Lrp	aidBp2	-	aidB	b4187
Regulation of aidBp2 by isovaleryl-CoA dehydrogenase and DNA-binding transcriptional repressor	aidBp2	-	aidB	b4187
Regulation of alaAp9 by DNA-binding transcriptional dual regulator Lrp-L-leucine	alaAp9	-	alaA	b2290
Regulation of alaCp by DNA-binding transcriptional dual regulator SgrR	alaCp	+	alaC	b2379
Regulation of alaEp by DNA-binding transcriptional dual regulator Lrp-L-leucine	alaEp	+	alaE	b2670
Regulation of alaEp by DNA-binding transcriptional dual regulator Lrp-L-leucine	alaEp	+	alaE	b2670
Regulation of alaSp by AlaS-L-alanine DNA-binding transcriptional repressor	alaSp	-	alaS	b2697
Regulation of alaWp by DNA-binding transcriptional dual regulator Fis	alaWp	+	alaX // alaW	b2396 // b2397
Regulation of aldAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	aldAp	+	aldA	b1415
Regulation of aldAp by DNA-binding transcriptional dual regulator ArcA-phosphorylated	aldAp	-	aldA	b1415
Regulation of aldAp by DNA-binding transcriptional dual regulator ArcA-phosphorylated	aldAp	-	aldA	b1415
Regulation of aldAp by DNA-binding transcriptional dual regulator ArcA-phosphorylated	aldAp	-	aldA	b1415
Regulation of aldAp by DNA-binding transcriptional dual regulator ArcA-phosphorylated	aldAp	-	aldA	b1415
Regulation of aldAp by DNA-binding transcriptional dual regulator ArcA-phosphorylated	aldAp	-	aldA	b1415
Regulation of aldAp by DNA-binding transcriptional dual regulator FNR	aldAp	-	aldA	b1415
Regulation of aldAp by DNA-binding transcriptional dual regulator MarA	aldAp	+	aldA	b1415
Regulation of aldAp by DNA-binding transcriptional dual regulator Rob	aldAp	+	aldA	b1415
Regulation of aldAp by DNA-binding transcriptional dual regulator SoxS	aldAp	+	aldA	b1415
Regulation of aldAp by DnaA-ATP	aldAp	-	aldA	b1415
Regulation of aldBp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	aldBp	+	aldB	b3588
Regulation of aldBp by DNA-binding transcriptional dual regulator Fis	aldBp	-	aldB	b3588
Regulation of aldBp by DNA-binding transcriptional dual regulator Fis	aldBp	-	aldB	b3588
Regulation of aldBp by DNA-binding transcriptional dual regulator Fis	aldBp	-	aldB	b3588
Regulation of aldBp by DNA-binding transcriptional dual regulator Fis	aldBp	-	aldB	b3588
Regulation of aldBp by DNA-binding transcriptional dual regulator Fis	aldBp	-	aldB	b3588
Regulation of alkAp by DNA-binding transcriptional dual regulator / DNA repair protein Ada	alkAp	+	alkA	b2068
Regulation of alkAp2 by DNA-binding transcriptional dual regulator / DNA repair protein Ada	alkAp2	+	alkA	b2068
Regulation of allAp by AllR-allantoin	allAp	-	allA	b0505
Regulation of allDp by AllS-allantoin DNA-binding transcriptional activator	allDp	+	allE // allC // allD	b0515 // b0516 // b0517
Regulation of allSp by AllR-allantoin	allSp	-	allS	b0504
Regulation of alsRp1 by DNA-binding transcriptional repressor AlsR	alsRp1	-	alsE // alsC // alsA // alsB // alsR	b4085 // b4086 // b4087 // b4088 // b4089
Regulation of alsRp2 by DNA-binding transcriptional repressor AlsR	alsRp2	-	alsE // alsC // alsA // alsB // alsR	b4085 // b4086 // b4087 // b4088 // b4089
Regulation of amiAp by DNA-binding transcriptional dual regulator IHF	amiAp	-	hemF // amiA	b2436 // b2435
Regulation of amnp1 by DNA-binding transcriptional dual regulator PhoB-phosphorylated	amnp1	+	amn	b1982
Regulation of ampCp by DNA binding transcriptional dual regulator BolA-phosphorylated	ampCp	-	ampC	b4150
Regulation of ampCp by DNA binding transcriptional dual regulator BolA-phosphorylated	ampCp	+	ampC	b4150
Regulation of ampD by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	ampD	-	ampD // ampE	b0110 // b0111
Regulation of ansBp1 by DNA-binding transcriptional dual regulator Fis	ansBp1	-	ansB	b2957
Regulation of ansBp1 by DNA-binding transcriptional dual regulator Fis	ansBp1	-	ansB	b2957
Regulation of ansBp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	ansBp2	+	ansB	b2957
Regulation of ansBp2 by DNA-binding transcriptional dual regulator FNR	ansBp2	+	ansB	b2957
Regulation of appCp by DLP12 prophage; DNA-binding transcriptional activator AppY	appCp	+	appX // appC // appB // appA	b4592 // b0978 // b0979 // b0980
Regulation of appCp by DNA-binding transcriptional dual regulator ArcA-phosphorylated	appCp	+	appX // appC // appB // appA	b4592 // b0978 // b0979 // b0980
Regulation of appCp by DNA-binding transcriptional dual regulator YdeO	appCp	+	appX // appC // appB // appA	b4592 // b0978 // b0979 // b0980
Regulation of appCp2 by DLP12 prophage; DNA-binding transcriptional activator AppY	appCp2	+	appX // appC // appB // appA	b4592 // b0978 // b0979 // b0980
Regulation of appCp2 by DNA-binding transcriptional dual regulator ArcA-phosphorylated	appCp2	+	appX // appC // appB // appA	b4592 // b0978 // b0979 // b0980
Regulation of appCp2 by DNA-binding transcriptional dual regulator YdeO	appCp2	+	appX // appC // appB // appA	b4592 // b0978 // b0979 // b0980
Regulation of appYp1 by DNA-binding transcriptional dual regulator DpiA-phosphorylated	appYp1	-	appY	b0564
Regulation of appYp1 by DNA-binding transcriptional dual regulator H-NS	appYp1	-	appY	b0564
Regulation of appYp2 by DNA-binding transcriptional dual regulator ArcA-phosphorylated	appYp2	+	appY	b0564
Regulation of araBp by AraC-alpha-L-arabinopyranose DNA-binding transcriptional activator	araBp	+	araD // araA // araB	b0061 // b0062 // b0063
Regulation of araBp by AraC-alpha-L-arabinopyranose DNA-binding transcriptional activator	araBp	-	araD // araA // araB	b0061 // b0062 // b0063
Regulation of araBp by AraC-alpha-L-arabinopyranose DNA-binding transcriptional activator	araBp	+	araD // araA // araB	b0061 // b0062 // b0063
Regulation of araBp by AraC-alpha-L-arabinopyranose DNA-binding transcriptional activator	araBp	-	araD // araA // araB	b0061 // b0062 // b0063
Regulation of araBp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	araBp	+	araD // araA // araB	b0061 // b0062 // b0063
Regulation of araBp by DNA-binding transcriptional dual regulator AraC	araBp	-	araD // araA // araB	b0061 // b0062 // b0063
Regulation of araBp by DNA-binding transcriptional dual regulator AraC	araBp	-	araD // araA // araB	b0061 // b0062 // b0063
Regulation of araCp by AraC-alpha-L-arabinopyranose DNA-binding transcriptional activator	araCp	+	araC	b0064
Regulation of araCp by AraC-alpha-L-arabinopyranose DNA-binding transcriptional activator	araCp	+	araC	b0064
Regulation of araCp by AraC-alpha-L-arabinopyranose DNA-binding transcriptional activator	araCp	-	araC	b0064
Regulation of araCp by AraC-alpha-L-arabinopyranose DNA-binding transcriptional activator	araCp	-	araC	b0064
Regulation of araCp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	araCp	+	araC	b0064
Regulation of araCp by DNA-binding transcriptional dual regulator AraC	araCp	-	araC	b0064
Regulation of araCp by DNA-binding transcriptional dual regulator AraC	araCp	-	araC	b0064
Regulation of araCp by DNA-binding transcriptional dual regulator XylR-alpha-D-xylopyranose	araCp	-	araC	b0064
Regulation of araCp by DNA-binding transcriptional dual regulator XylR-alpha-D-xylopyranose	araCp	-	araC	b0064
Regulation of araEp by AraC-alpha-L-arabinopyranose DNA-binding transcriptional activator	araEp	+	ygeA // araE	b2840 // b2841
Regulation of araEp by AraC-alpha-L-arabinopyranose DNA-binding transcriptional activator	araEp	+	ygeA // araE	b2840 // b2841
Regulation of araEp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	araEp	+	ygeA // araE	b2840 // b2841
Regulation of araFp1 by AraC-alpha-L-arabinopyranose DNA-binding transcriptional activator	araFp1	+	araH // araG // araF	b4460 // b1900 // b1901
Regulation of araFp1 by AraC-alpha-L-arabinopyranose DNA-binding transcriptional activator	araFp1	+	araH // araG // araF	b4460 // b1900 // b1901
Regulation of araFp1 by AraC-alpha-L-arabinopyranose DNA-binding transcriptional activator	araFp1	+	araH // araG // araF	b4460 // b1900 // b1901
Regulation of araFp1 by AraC-alpha-L-arabinopyranose DNA-binding transcriptional activator	araFp1	+	araH // araG // araF	b4460 // b1900 // b1901
Regulation of araFp1 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	araFp1	+	araH // araG // araF	b4460 // b1900 // b1901
Regulation of araFp3 by AraC-alpha-L-arabinopyranose DNA-binding transcriptional activator	araFp3	+	araH // araG // araF	b4460 // b1900 // b1901
Regulation of araFp3 by AraC-alpha-L-arabinopyranose DNA-binding transcriptional activator	araFp3	+	araH // araG // araF	b4460 // b1900 // b1901
Regulation of araFp3 by AraC-alpha-L-arabinopyranose DNA-binding transcriptional activator	araFp3	+	araH // araG // araF	b4460 // b1900 // b1901
Regulation of araFp3 by AraC-alpha-L-arabinopyranose DNA-binding transcriptional activator	araFp3	+	araH // araG // araF	b4460 // b1900 // b1901
Regulation of araFp3 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	araFp3	+	araH // araG // araF	b4460 // b1900 // b1901
Regulation of araJp by AraC-alpha-L-arabinopyranose DNA-binding transcriptional activator	araJp	+	araJ	b0396
Regulation of araJp by AraC-alpha-L-arabinopyranose DNA-binding transcriptional activator	araJp	+	araJ	b0396
Regulation of araJp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	araJp	+	araJ	b0396
Regulation of araJp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	araJp	-	araJ	b0396
Regulation of arcAp1 by DNA-binding transcriptional dual regulator FNR	arcAp1	+	arcA	b4401
Regulation of arcAp3 by DNA-binding transcriptional dual regulator FNR	arcAp3	-	arcA	b4401
Regulation of arcZp by DNA-binding transcriptional dual regulator ArcA-phosphorylated	arcZp	-	arcZ	b4450
Regulation of argAp by ArgR-L-arginine DNA-binding transcriptional dual regulator	argAp	-	argA	b2818
Regulation of argAp by ArgR-L-arginine DNA-binding transcriptional dual regulator	argAp	-	argA	b2818
Regulation of argCp by ArgR-L-arginine DNA-binding transcriptional dual regulator	argCp	-	argC // argB // argH	b3958 // b3959 // b3960
Regulation of argCp by ArgR-L-arginine DNA-binding transcriptional dual regulator	argCp	-	argC // argB // argH	b3958 // b3959 // b3960
Regulation of argDp by ArgR-L-arginine DNA-binding transcriptional dual regulator	argDp	-	argD	b3359
Regulation of argDp by ArgR-L-arginine DNA-binding transcriptional dual regulator	argDp	-	argD	b3359
Regulation of argDp by DNA-binding transcriptional dual regulator PhoP-phosphorylated	argDp	-	argD	b3359
Regulation of argEp1 by ArgR-L-arginine DNA-binding transcriptional dual regulator	argEp1	-	argE	b3957
Regulation of argEp1 by ArgR-L-arginine DNA-binding transcriptional dual regulator	argEp1	-	argE	b3957
Regulation of argFp by ArgR-L-arginine DNA-binding transcriptional dual regulator	argFp	-	argF	b0273
Regulation of argFp by ArgR-L-arginine DNA-binding transcriptional dual regulator	argFp	-	argF	b0273
Regulation of argGp by ArgR-L-arginine DNA-binding transcriptional dual regulator	argGp	-	argG	b3172
Regulation of argGp by ArgR-L-arginine DNA-binding transcriptional dual regulator	argGp	-	argG	b3172
Regulation of argGp by ArgR-L-arginine DNA-binding transcriptional dual regulator	argGp	-	argG	b3172
Regulation of argGp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	argGp	+	argG	b3172
Regulation of argIp by ArgR-L-arginine DNA-binding transcriptional dual regulator	argIp	-	argI	b4254
Regulation of argIp by ArgR-L-arginine DNA-binding transcriptional dual regulator	argIp	-	argI	b4254
Regulation of argIp by DksA-ppGpp	argIp	+	argI	b4254
Regulation of argIp by ppGpp	argIp	+	argI	b4254
Regulation of argOp by ArgP-L-arginine  DNA-binding transcriptional dual regulator	argOp	+	argO	b2923
Regulation of argOp by ArgP-L-arginine  DNA-binding transcriptional dual regulator	argOp	+	argO	b2923
Regulation of argOp by DNA-binding transcriptional dual regulator Lrp-L-leucine	argOp	+	argO	b2923
Regulation of argOp by DNA-binding transcriptional dual regulator Lrp-L-leucine	argOp	+	argO	b2923
