Gene,Function,Multifunction,Biological Process,Cellular Component,Molecular Function
hflK,repressor,"proteins/peptides/glycopeptides; proteases, cleavage of compounds; prophage genes and phage related functions",GO:0009408 - response to heat,GO:0005829 - cytosol; GO:0005886 - plasma membrane; GO:0016020 - membrane; GO:0030288 - outer membrane-bounded periplasmic space; GO:0098796 - membrane protein complex; GO:0098797 - plasma membrane protein complex,GO:0005515 - protein binding
hfq,repressor,"RNA degradation; antisense RNA; nucleoproteins, basic proteins; translation attenuation and efficiency; antisense RNA; global; prophage genes and phage related functions","GO:0006355 - regulation of DNA-templated transcription; GO:0008033 - tRNA processing; GO:0034337 - RNA folding; GO:0040033 - sRNA-mediated post-transcriptional gene silencing; GO:0042254 - ribosome biogenesis; GO:0043487 - regulation of RNA stability; GO:0045974 - regulation of translation, ncRNA-mediated; GO:0045975 - positive regulation of translation, ncRNA-mediated",GO:0005829 - cytosol; GO:0043590 - bacterial nucleoid,GO:0000049 - tRNA binding; GO:0003677 - DNA binding; GO:0003681 - bent DNA binding; GO:0003723 - RNA binding; GO:0005515 - protein binding; GO:0005524 - ATP binding; GO:0140691 - RNA folding chaperone
cspE,activator,transcriptional level,GO:0010468 - regulation of gene expression; GO:0031564 - transcription antitermination; GO:0060567 - negative regulation of termination of DNA-templated transcription,GO:0005737 - cytoplasm; GO:0005829 - cytosol,"GO:0001072 - transcription antitermination factor activity, RNA binding; GO:0003676 - nucleic acid binding; GO:0003677 - DNA binding; GO:0003697 - single-stranded DNA binding; GO:0003723 - RNA binding; GO:0008143 - poly(A) binding; GO:0042803 - protein homodimerization activity"
patZ,activator,"posttranslational modification; covalent modification, demodification, maturation",GO:0006979 - response to oxidative stress; GO:0009408 - response to heat; GO:0018393 - internal peptidyl-lysine acetylation,GO:0005886 - plasma membrane; GO:0032991 - protein-containing complex,"GO:0003824 - catalytic activity; GO:0005515 - protein binding; GO:0005524 - ATP binding; GO:0016740 - transferase activity; GO:0016746 - acyltransferase activity; GO:0016747 - acyltransferase activity, transferring groups other than amino-acyl groups; GO:0042802 - identical protein binding; GO:0046872 - metal ion binding; GO:0052858 - peptidyl-lysine acetyltransferase activity; GO:0061733 - peptide-lysine-N-acetyltransferase activity"
dpiB,repressor,posttranslational modification; two component regulatory systems (external signal); membrane,GO:0000160 - phosphorelay signal transduction system; GO:0006355 - regulation of DNA-templated transcription; GO:0016310 - phosphorylation; GO:0018106 - peptidyl-histidine phosphorylation; GO:0046777 - protein autophosphorylation,GO:0005829 - cytosol; GO:0005886 - plasma membrane; GO:0016020 - membrane; GO:0030288 - outer membrane-bounded periplasmic space,"GO:0000155 - phosphorelay sensor kinase activity; GO:0000166 - nucleotide binding; GO:0004673 - protein histidine kinase activity; GO:0005515 - protein binding; GO:0005524 - ATP binding; GO:0009927 - histidine phosphotransfer kinase activity; GO:0016301 - kinase activity; GO:0016740 - transferase activity; GO:0016772 - transferase activity, transferring phosphorus-containing groups"
dpiA,repressor,Transcription related; activator; two component regulatory systems (external signal); operon,GO:0000160 - phosphorelay signal transduction system; GO:0006355 - regulation of DNA-templated transcription,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0000156 - phosphorelay response regulator activity; GO:0003677 - DNA binding; GO:0003700 - DNA-binding transcription factor activity; GO:0005515 - protein binding
citC,repressor,"posttranslational modification; covalent modification, demodification, maturation",GO:0009058 - biosynthetic process,GO:0005737 - cytoplasm; GO:0005829 - cytosol,"GO:0000166 - nucleotide binding; GO:0003824 - catalytic activity; GO:0005515 - protein binding; GO:0005524 - ATP binding; GO:0008771 - [citrate (pro-3S)-lyase] ligase activity; GO:0016747 - acyltransferase activity, transferring groups other than amino-acyl groups; GO:0016874 - ligase activity"
citE,repressor,unassigned reversible reactions,GO:0006084 - acetyl-CoA metabolic process; GO:0006101 - citrate metabolic process; GO:0006107 - oxaloacetate metabolic process,GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:0009346 - ATP-independent citrate lyase complex,GO:0000287 - magnesium ion binding; GO:0003824 - catalytic activity; GO:0008815 - citrate (pro-3S)-lyase activity; GO:0008816 - citryl-CoA lyase activity; GO:0016829 - lyase activity; GO:0046872 - metal ion binding
citF,repressor,unassigned reversible reactions,GO:0006084 - acetyl-CoA metabolic process; GO:0006101 - citrate metabolic process,GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:0009346 - ATP-independent citrate lyase complex,GO:0008814 - citrate CoA-transferase activity; GO:0008815 - citrate (pro-3S)-lyase activity; GO:0016740 - transferase activity; GO:0016829 - lyase activity
citD,repressor,acyl carrier protein; unassigned reversible reactions,GO:0006084 - acetyl-CoA metabolic process; GO:0006101 - citrate metabolic process,GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:0009346 - ATP-independent citrate lyase complex,GO:0051192 - prosthetic group binding
citG,repressor,posttranslational modification,GO:0016310 - phosphorylation; GO:0051191 - prosthetic group biosynthetic process,GO:0005829 - cytosol,GO:0000166 - nucleotide binding; GO:0005524 - ATP binding; GO:0016740 - transferase activity; GO:0046917 - triphosphoribosyl-dephospho-CoA synthase activity
citX,repressor,posttranslational modification,GO:0018247 - protein-phosphoribosyl dephospho-coenzyme A linkage; GO:0051191 - prosthetic group biosynthetic process,GO:0005829 - cytosol,GO:0016740 - transferase activity; GO:0016779 - nucleotidyltransferase activity; GO:0050519 - holo-citrate lyase synthase activity
gcvT,activator,amino acids; formyl-THF biosynthesis,GO:0006546 - glycine catabolic process; GO:0006730 - one-carbon metabolic process; GO:0009257 - 10-formyltetrahydrofolate biosynthetic process; GO:0019464 - glycine decarboxylation via glycine cleavage system,GO:0005829 - cytosol; GO:0005960 - glycine cleavage complex,GO:0004047 - aminomethyltransferase activity; GO:0008483 - transaminase activity; GO:0016740 - transferase activity
gcvH,activator,amino acids; formyl-THF biosynthesis,GO:0006730 - one-carbon metabolic process; GO:0019464 - glycine decarboxylation via glycine cleavage system,GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:0005960 - glycine cleavage complex,
gcvP,activator,amino acids; formyl-THF biosynthesis,GO:0006544 - glycine metabolic process; GO:0006546 - glycine catabolic process; GO:0006730 - one-carbon metabolic process; GO:0019464 - glycine decarboxylation via glycine cleavage system,GO:0005829 - cytosol; GO:0005960 - glycine cleavage complex,GO:0003824 - catalytic activity; GO:0004375 - glycine dehydrogenase (decarboxylating) activity; GO:0016491 - oxidoreductase activity; GO:0016594 - glycine binding; GO:0030170 - pyridoxal phosphate binding; GO:0042802 - identical protein binding
mcaS,activator,antisense RNA; translation attenuation and efficiency; inhibition / activation of enzymes; antisense RNA,GO:0035194 - regulatory ncRNA-mediated post-transcriptional gene silencing; GO:0045947 - negative regulation of translational initiation; GO:0045948 - positive regulation of translational initiation; GO:0051100 - negative regulation of binding; GO:1900191 - negative regulation of single-species biofilm formation; GO:1902021 - regulation of bacterial-type flagellum-dependent cell motility,,GO:0001000 - bacterial-type RNA polymerase core enzyme binding; GO:0005515 - protein binding; GO:0048027 - mRNA 5'-UTR binding
btsT,activator,"Porters (Uni-, Sym- and Antiporters); membrane",GO:0006849 - plasma membrane pyruvate transport; GO:0006974 - DNA damage response; GO:0009267 - cellular response to starvation; GO:0031669 - cellular response to nutrient levels,GO:0005886 - plasma membrane; GO:0016020 - membrane,GO:0005477 - pyruvate secondary active transmembrane transporter activity; GO:0005515 - protein binding; GO:0015293 - symporter activity; GO:0042802 - identical protein binding
fumA,activator,TCA cycle,GO:0006091 - generation of precursor metabolites and energy; GO:0006099 - tricarboxylic acid cycle; GO:0008152 - metabolic process,GO:0005829 - cytosol,"GO:0003824 - catalytic activity; GO:0004333 - fumarate hydratase activity; GO:0016829 - lyase activity; GO:0016836 - hydro-lyase activity; GO:0016853 - isomerase activity; GO:0042802 - identical protein binding; GO:0042803 - protein homodimerization activity; GO:0046872 - metal ion binding; GO:0050163 - oxaloacetate tautomerase activity; GO:0051536 - iron-sulfur cluster binding; GO:0051539 - 4 iron, 4 sulfur cluster binding"
fumC,dual,TCA cycle; fermentation,GO:0006099 - tricarboxylic acid cycle; GO:0006106 - fumarate metabolic process; GO:0006108 - malate metabolic process; GO:0006979 - response to oxidative stress; GO:0008152 - metabolic process,GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:0045239 - tricarboxylic acid cycle enzyme complex,GO:0003824 - catalytic activity; GO:0004333 - fumarate hydratase activity; GO:0016829 - lyase activity; GO:0042802 - identical protein binding
manA,dual,"carbon compounds; colanic acid (M antigen); sugar nucleotide biosynthesis, conversions; dessication; capsule (M and K antigens)",GO:0005975 - carbohydrate metabolic process; GO:0009242 - colanic acid biosynthetic process; GO:0009298 - GDP-mannose biosynthetic process; GO:0019309 - mannose catabolic process,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0004476 - mannose-6-phosphate isomerase activity; GO:0005515 - protein binding; GO:0008270 - zinc ion binding; GO:0016853 - isomerase activity; GO:0046872 - metal ion binding
ycdZ,dual,,,GO:0005886 - plasma membrane; GO:0016020 - membrane,
puuC,repressor,amines,GO:0009447 - putrescine catabolic process,GO:0005829 - cytosol,"GO:0004029 - aldehyde dehydrogenase (NAD+) activity; GO:0004030 - aldehyde dehydrogenase [NAD(P)+] activity; GO:0016491 - oxidoreductase activity; GO:0016620 - oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor; GO:0033721 - aldehyde dehydrogenase (NADP+) activity"
puuD,repressor,amines,GO:0006598 - polyamine catabolic process; GO:0009447 - putrescine catabolic process,GO:0005829 - cytosol,"GO:0016787 - hydrolase activity; GO:0016811 - hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides; GO:0033969 - gamma-glutamyl-gamma-aminobutyrate hydrolase activity"
puuB,repressor,amines,GO:0009447 - putrescine catabolic process,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0016491 - oxidoreductase activity
puuE,repressor,amines,GO:0009447 - putrescine catabolic process; GO:0009448 - gamma-aminobutyric acid metabolic process; GO:0009450 - gamma-aminobutyric acid catabolic process,GO:0005829 - cytosol,GO:0003867 - 4-aminobutyrate transaminase activity; GO:0008483 - transaminase activity; GO:0016740 - transferase activity; GO:0030170 - pyridoxal phosphate binding; GO:0034386 - 4-aminobutyrate:2-oxoglutarate transaminase activity; GO:0042802 - identical protein binding
puuR,repressor,transcriptional level,GO:0006351 - DNA-templated transcription; GO:0006355 - regulation of DNA-templated transcription; GO:0009447 - putrescine catabolic process,GO:0005829 - cytosol,GO:0003677 - DNA binding; GO:0003700 - DNA-binding transcription factor activity
rmf,activator,translation; ribosomes,GO:0006417 - regulation of translation; GO:0022611 - dormancy process; GO:0032055 - negative regulation of translation in response to stress; GO:0033554 - cellular response to stress,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0003723 - RNA binding; GO:0019843 - rRNA binding; GO:0043022 - ribosome binding; GO:0043024 - ribosomal small subunit binding
raiA,activator,translation; ribosomes,GO:0006417 - regulation of translation; GO:0009409 - response to cold; GO:0022611 - dormancy process; GO:0045900 - negative regulation of translational elongation; GO:0045947 - negative regulation of translational initiation,GO:0005829 - cytosol; GO:0022627 - cytosolic small ribosomal subunit,GO:0003723 - RNA binding; GO:0005515 - protein binding; GO:0019843 - rRNA binding; GO:0043024 - ribosomal small subunit binding
raiZ,activator,,,,GO:0003729 - mRNA binding; GO:0005515 - protein binding
rpsI,repressor,translation; ribosomal proteins; ribosomes,GO:0002181 - cytoplasmic translation; GO:0006412 - translation,GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:0005840 - ribosome; GO:0022627 - cytosolic small ribosomal subunit; GO:0043229 - intracellular organelle; GO:1990904 - ribonucleoprotein complex,GO:0000049 - tRNA binding; GO:0003723 - RNA binding; GO:0003735 - structural constituent of ribosome
rplM,repressor,translation; ribosomal proteins; ribosomes,GO:0002181 - cytoplasmic translation; GO:0006412 - translation; GO:0017148 - negative regulation of translation,GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:0005840 - ribosome; GO:0022625 - cytosolic large ribosomal subunit; GO:0043229 - intracellular organelle; GO:1990904 - ribonucleoprotein complex,GO:0003729 - mRNA binding; GO:0003735 - structural constituent of ribosome; GO:0008270 - zinc ion binding; GO:0048027 - mRNA 5'-UTR binding; GO:0070180 - large ribosomal subunit rRNA binding
rplI,activator,translation; ribosomal proteins; ribosomes,GO:0002181 - cytoplasmic translation; GO:0006412 - translation,GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:0005840 - ribosome; GO:0022625 - cytosolic large ribosomal subunit; GO:1990904 - ribonucleoprotein complex,GO:0003723 - RNA binding; GO:0003735 - structural constituent of ribosome; GO:0005515 - protein binding; GO:0019843 - rRNA binding; GO:0070180 - large ribosomal subunit rRNA binding
